age,employment_type,years_employed,annual_income,monthly_debt,loan_amount_requested,loan_purpose,credit_score,missed_payments,savings,dti_ratio,loan_to_income,defaulted
23,Business Owner,5,3198740.36,51522.68,3255547.7,Vehicle,650,0,283070.14,19.3286,1.017759,1
55,Salaried,5,1172030.42,51705.55,4963424.93,Home,556,0,115453.17,52.9395,4.234894,1
23,Salaried,5,751980.22,24454.68,4044102.59,Home,671,2,203739.01,39.0245,5.377937,1
32,Freelancer,2,1725471.65,33727.13,2063542.63,Vehicle,872,0,1165524.47,23.4559,1.19593,0
23,Salaried,5,707667.02,29727.19,1202407.78,Business,772,0,273225.76,50.4088,1.699115,0
27,Salaried,9,1429620.57,9740.33,4275959.24,Home,639,0,222072.85,8.1759,2.990975,0
35,Salaried,0,1605835.28,49477.17,2397837.64,Vehicle,691,0,336659.97,36.973,1.493203,0
36,Freelancer,11,2037470.15,6597.52,2260891.26,Personal,680,0,1619964.76,3.8857,1.109656,0
28,Salaried,10,2083253.56,46269.11,8582750.11,Business,734,0,555449.95,26.652,4.119878,0
24,Salaried,3,986159.5,55428.64,3934681.16,Business,698,1,299079.72,67.4479,3.989903,1
44,Business Owner,0,1285882.7,54587.61,5145414.58,Business,783,0,1766184.7,50.9418,4.001465,0
34,Salaried,6,2312936.41,37915.03,7169866.18,Business,608,2,177451.86,19.6711,3.099898,0
28,Salaried,10,2049444.87,46766.83,1880453.69,Education,699,0,122753.35,27.3831,0.917543,0
29,Business Owner,6,2102408.57,77738.03,768870.6,Personal,729,1,915564.75,44.3708,0.365709,0
26,Business Owner,3,339801.72,3845.8,1032684.02,Business,671,0,468090.24,13.5813,3.039078,0
36,Freelancer,0,927772.0,28684.35,1597490.31,Personal,679,2,104491.13,37.1009,1.721857,0
36,Self-Employed,12,1373998.89,30323.38,3591293.24,Home,753,2,188496.55,26.4833,2.613753,0
32,Salaried,13,1876861.62,91702.01,9109309.56,Home,799,0,295579.55,58.6311,4.85348,0
39,Self-Employed,6,2582083.24,58643.65,10886284.35,Home,763,1,312628.98,27.2541,4.216086,0
29,Self-Employed,5,1651891.24,31994.96,7882135.19,Business,722,0,117534.64,23.2424,4.771582,0
42,Self-Employed,11,564621.75,15426.82,720849.75,Personal,709,0,392392.56,32.7869,1.276695,0
27,Salaried,8,700130.76,18140.88,487395.48,Vehicle,732,0,252000.15,31.0928,0.696149,0
37,Salaried,12,1037033.6,12391.45,2502673.89,Education,698,1,161188.92,14.3387,2.413301,0
33,Self-Employed,5,1494112.6,24701.44,2140238.25,Personal,689,1,268367.34,19.839,1.432448,0
27,Salaried,9,2669117.8,41654.84,6192074.38,Education,680,1,227420.03,18.7275,2.319896,0
22,Self-Employed,4,2722142.89,142057.57,1489980.62,Vehicle,669,1,198526.49,62.6231,0.547356,0
21,Freelancer,3,2198723.65,72110.65,3521215.47,Personal,635,0,143350.43,39.3559,1.601482,0
30,Freelancer,5,2087071.01,74048.8,3614522.36,Education,568,4,626070.67,42.5757,1.731864,1
35,Self-Employed,3,602883.5,16950.75,392367.04,Vehicle,807,1,724285.58,33.7394,0.650817,0
25,Salaried,5,1707386.95,38308.57,8158117.86,Business,810,2,301770.91,26.9244,4.778131,0
37,Salaried,1,810856.83,53545.1,1764476.76,Business,632,1,230856.3,79.2423,2.176065,0
31,Salaried,8,2713381.4,154684.61,8842426.04,Business,842,3,129323.7,68.4097,3.258822,1
35,Self-Employed,11,984555.13,35342.04,2191686.11,Education,822,2,536613.96,43.0757,2.226067,0
31,Salaried,13,667781.63,30099.49,2570634.2,Home,808,1,103562.44,54.0886,3.849513,1
51,Salaried,9,695631.99,31525.22,3251165.22,Business,580,0,208082.11,54.3826,4.673686,0
30,Salaried,2,1297218.79,45837.25,3572439.12,Home,465,0,542072.26,42.402,2.753922,1
25,Self-Employed,0,1296096.24,72083.84,7343147.48,Home,714,3,227825.45,66.7393,5.665588,1
28,Salaried,10,3124458.16,107516.68,4878420.22,Vehicle,744,2,138239.53,41.2936,1.561365,0
21,Business Owner,0,1788874.7,13116.26,9335425.91,Home,760,0,546971.51,8.7986,5.218602,0
44,Business Owner,3,1292102.81,29996.41,5930547.55,Business,575,1,148301.72,27.8582,4.589842,1
41,Salaried,8,3893059.88,121691.81,5965677.89,Personal,819,0,264205.54,37.5104,1.532388,0
27,Salaried,9,1690248.19,30846.33,4401606.74,Home,687,3,289265.75,21.8995,2.604119,1
30,Salaried,8,3636241.33,220149.34,10064127.76,Home,639,2,81569.57,72.6517,2.767728,0
22,Business Owner,0,1380109.89,73960.31,1847182.64,Personal,746,0,138744.76,64.3082,1.338432,0
39,Salaried,9,2046164.25,118883.75,10923657.06,Home,862,4,496963.25,69.7209,5.338602,1
32,Business Owner,3,938700.97,49796.13,3332916.87,Business,628,1,160554.15,63.6575,3.550563,0
36,Salaried,5,1225670.19,18042.46,3356742.95,Business,647,1,226786.45,17.6646,2.7387,0
22,Self-Employed,1,1090310.81,21169.9,1356023.54,Vehicle,652,0,87538.77,23.2997,1.243704,0
21,Salaried,3,973286.97,20776.47,3410612.86,Home,611,0,467107.29,25.616,3.504221,0
29,Salaried,6,1775512.55,59144.14,6379005.56,Business,672,2,1172071.18,39.9732,3.592768,0
35,Salaried,12,996944.66,6049.95,885394.08,Vehicle,589,0,323290.28,7.2822,0.888108,0
41,Salaried,9,2049753.4,46542.1,10019144.95,Home,699,2,281809.5,27.2474,4.887976,0
24,Business Owner,6,641692.05,15220.75,869889.36,Education,736,1,502778.94,28.4637,1.355618,0
40,Business Owner,11,1235550.57,16660.94,1863414.28,Vehicle,684,1,219146.75,16.1816,1.508165,0
23,Salaried,4,2228951.18,76480.85,7262636.34,Home,802,3,972025.83,41.175,3.25832,0
32,Business Owner,10,2101496.97,19208.18,4579532.07,Education,795,0,340185.07,10.9683,2.179176,0
27,Salaried,6,1365717.99,74892.39,3425877.22,Education,716,2,105709.62,65.8049,2.508481,1
42,Self-Employed,0,1683226.02,103719.75,1654855.36,Vehicle,607,1,70548.28,73.9435,0.983145,0
30,Business Owner,12,664896.17,15877.62,2798862.83,Business,659,0,74071.6,28.6558,4.209474,0
40,Salaried,5,1658227.22,26564.29,9005179.35,Home,795,0,342755.57,19.2236,5.430606,0
30,Salaried,10,2285538.78,13885.72,4189719.13,Business,608,0,95940.35,7.2906,1.833143,0
43,Salaried,3,850590.08,48544.67,3506160.47,Home,792,0,182299.66,68.4861,4.122033,0
35,Business Owner,11,2052711.27,71446.85,9040132.73,Home,799,0,95947.67,41.7673,4.403996,0
39,Business Owner,16,707735.51,14947.89,2950932.09,Business,672,2,600006.09,25.3449,4.169541,0
24,Self-Employed,0,1956767.91,57815.6,2494408.09,Personal,654,0,42522.47,35.4558,1.274759,0
38,Salaried,10,3538919.44,35024.24,1735471.62,Personal,654,1,192088.08,11.8762,0.490396,0
29,Salaried,7,1011570.77,37801.33,575555.74,Vehicle,747,0,1149295.55,44.8427,0.568972,0
27,Freelancer,5,1154288.87,53404.31,1322480.42,Personal,734,0,237696.32,55.5192,1.14571,0
33,Freelancer,11,2040618.93,74520.38,5257220.5,Business,900,0,135737.54,43.8222,2.576287,0
34,Salaried,4,1713576.81,56182.47,3237054.42,Vehicle,736,1,246569.8,39.344,1.889063,0
41,Salaried,6,811721.92,25575.66,2135203.25,Home,739,0,127227.79,37.8095,2.630462,0
40,Salaried,6,1228095.97,63086.27,1556031.39,Personal,717,0,245459.41,61.643,1.267028,0
35,Salaried,7,1168380.9,36883.81,1431810.77,Personal,640,0,735553.19,37.882,1.225466,0
36,Self-Employed,9,1097063.89,31672.73,3593444.04,Home,681,2,359875.52,34.6445,3.27551,0
34,Freelancer,3,289291.66,3966.45,674818.7,Education,780,0,1099016.5,16.4531,2.332659,0
34,Self-Employed,0,2406734.02,14616.0,8551443.94,Business,699,3,228801.35,7.2876,3.553132,0
35,Freelancer,14,1897876.62,39273.22,2026127.84,Vehicle,685,1,524279.69,24.8319,1.067576,0
22,Salaried,4,1990293.65,94064.8,6023885.97,Home,808,3,264267.77,56.7141,3.026632,0
39,Business Owner,13,2012001.77,70912.88,4151093.1,Business,570,4,204409.03,42.2939,2.063166,1
27,Salaried,3,3517157.92,189994.4,2849960.25,Education,758,0,133593.68,64.8232,0.810302,0
41,Salaried,14,1215470.55,43042.84,777127.41,Personal,696,1,759961.76,42.495,0.639363,0
36,Freelancer,10,1175122.72,24926.14,5035259.52,Home,730,2,164422.25,25.4538,4.28488,1
43,Salaried,13,646646.58,13530.31,763925.08,Personal,708,0,88482.36,25.1086,1.181364,0
22,Salaried,3,770915.6,34573.13,1401861.03,Vehicle,533,2,161767.02,53.8162,1.818436,1
34,Business Owner,10,1017702.26,47955.92,1130418.42,Vehicle,618,0,146659.82,56.5461,1.110756,0
30,Business Owner,5,889738.41,24463.01,1237684.31,Vehicle,645,2,209714.27,32.9935,1.391065,0
32,Salaried,5,2055548.99,54148.0,5430635.6,Education,771,3,101930.7,31.6108,2.641939,0
28,Salaried,9,1003497.86,28082.27,726547.82,Personal,624,0,196703.0,33.5813,0.724015,0
30,Freelancer,12,1174868.96,37119.24,1742449.16,Vehicle,695,2,228902.66,37.9132,1.483101,0
22,Self-Employed,0,998614.37,35128.13,2796600.57,Education,588,3,1311900.18,42.2122,2.800481,1
35,Salaried,11,1096744.25,54893.19,1453480.36,Education,614,0,488613.58,60.0612,1.325268,0
32,Business Owner,11,1218469.7,24114.93,6263962.2,Home,833,0,280230.69,23.7494,5.140844,1
31,Business Owner,3,832376.3,18840.0,2985979.09,Business,599,3,211500.89,27.1608,3.587295,1
26,Salaried,4,1476206.29,64073.37,977499.78,Vehicle,717,1,245928.95,52.0849,0.66217,0
30,Self-Employed,0,843537.12,28307.33,387517.21,Personal,718,1,135656.09,40.2695,0.459396,0
44,Salaried,12,1434270.04,18145.81,2103364.45,Vehicle,631,2,148224.48,15.1819,1.466505,0
44,Business Owner,4,3939535.55,66990.24,6868441.94,Personal,689,2,733702.1,20.4055,1.743465,1
40,Freelancer,7,1414203.39,27086.82,1459718.35,Personal,813,2,306463.58,22.9841,1.032184,0
35,Business Owner,15,1579791.42,26029.07,3130652.82,Vehicle,669,0,264315.84,19.7715,1.981687,0
32,Self-Employed,7,1298427.25,18571.61,1718660.87,Vehicle,669,2,1495147.13,17.1638,1.323648,0
27,Salaried,0,742924.77,28392.11,3443932.54,Home,621,0,253121.74,45.86,4.635641,1
24,Salaried,4,1220267.86,20036.93,856571.93,Vehicle,664,0,255852.63,19.7041,0.701954,0
37,Self-Employed,5,492759.39,15200.71,1769735.47,Home,558,0,298798.57,37.0178,3.59148,0
30,Self-Employed,5,1086194.0,35414.58,1207406.93,Education,813,0,171237.87,39.1251,1.111594,0
29,Business Owner,11,806347.03,25697.08,950595.87,Vehicle,651,0,91837.59,38.2422,1.178892,0
38,Self-Employed,9,2822619.66,113388.05,4394659.62,Vehicle,533,1,505779.13,48.2055,1.556944,0
31,Self-Employed,4,1106522.98,56551.77,1369930.77,Personal,740,0,649842.09,61.3292,1.23805,0
38,Freelancer,11,1237574.94,21288.31,5116499.76,Business,742,1,407688.81,20.642,4.134295,0
24,Freelancer,3,2645088.2,121989.36,2498685.09,Vehicle,685,1,599339.9,55.343,0.944651,0
28,Salaried,10,1655871.04,46422.32,1567321.33,Education,718,0,156175.3,33.642,0.946524,0
31,Self-Employed,9,1121229.47,20848.98,706148.74,Personal,697,0,529816.95,22.3137,0.629799,0
27,Freelancer,6,2217363.95,19551.88,6297782.72,Home,697,1,86506.61,10.5811,2.840212,0
41,Self-Employed,3,1569176.5,10970.7,5953699.53,Business,662,2,337717.78,8.3896,3.794155,0
27,Salaried,9,3747209.17,151020.88,11461786.95,Business,764,0,47343.66,48.3627,3.058753,0
36,Self-Employed,15,1479169.16,44920.79,3068803.65,Education,724,3,421451.6,36.4427,2.074681,0
34,Salaried,12,1947997.97,27260.79,9599768.84,Home,900,1,433613.02,16.7931,4.928018,0
21,Business Owner,3,2872988.1,78013.99,6057621.73,Business,752,0,43052.94,32.5852,2.108474,0
31,Salaried,9,2795636.98,67449.83,12323394.54,Home,694,2,250106.05,28.9522,4.408081,0
27,Salaried,9,619652.71,11369.54,3614405.36,Home,663,0,95588.51,22.0179,5.832953,1
31,Business Owner,12,2870048.79,70663.45,3320576.53,Education,788,2,835627.95,29.5452,1.156976,0
41,Business Owner,7,1474102.0,38212.73,538279.29,Personal,640,0,1926978.14,31.1073,0.365157,0
39,Business Owner,10,546209.78,18093.12,2356897.96,Business,659,0,300686.78,39.7498,4.315005,0
40,Salaried,10,2464229.16,78578.01,10042321.54,Business,576,1,148616.04,38.265,4.075239,0
36,Self-Employed,14,2828741.43,122748.49,10272860.25,Business,727,0,423076.72,52.072,3.631601,0
48,Freelancer,9,1783210.6,74073.4,4689449.86,Home,612,0,380452.77,49.8472,2.629779,0
36,Freelancer,3,1367347.45,40660.63,5542059.88,Home,828,0,260487.64,35.6842,4.053147,0
34,Business Owner,0,1435578.57,48595.65,997762.33,Personal,680,2,450856.21,40.6211,0.695025,0
30,Salaried,10,1467132.38,75085.81,6564518.9,Home,900,0,591794.02,61.4143,4.474388,1
21,Salaried,3,842447.27,31663.66,1569509.33,Education,830,0,224959.31,45.1024,1.863036,0
32,Salaried,12,1081355.27,19565.35,3327926.51,Business,658,1,685944.6,21.712,3.077551,0
37,Self-Employed,12,2084981.99,38618.03,2818378.12,Vehicle,689,0,610953.53,22.2264,1.351752,0
26,Salaried,7,1143952.28,23932.54,1129807.81,Vehicle,645,1,60014.01,25.1051,0.987635,0
48,Self-Employed,4,1214351.64,53648.8,4841033.7,Business,739,0,545888.7,53.0148,3.986517,0
33,Salaried,3,1804594.91,58394.66,5171049.03,Education,528,2,577238.38,38.8306,2.86549,1
30,Salaried,7,2431180.04,66727.09,9582933.89,Business,628,0,293407.7,32.9357,3.94168,0
39,Business Owner,7,1608831.48,21557.76,4613882.28,Education,782,1,239169.34,16.0796,2.867847,0
23,Salaried,0,1333764.29,41929.82,5776306.76,Business,670,3,335032.84,37.7246,4.33083,1
28,Salaried,10,1161283.79,42429.03,635925.6,Vehicle,732,1,158350.92,43.8436,0.547606,0
39,Salaried,12,2090136.04,69585.34,2678945.5,Vehicle,573,1,183335.0,39.9507,1.281709,0
30,Salaried,4,1278336.82,59158.06,6618667.63,Home,708,0,364397.66,55.5328,5.177562,0
32,Self-Employed,8,1665396.13,75482.61,1314743.56,Vehicle,671,1,776863.39,54.3889,0.789448,0
35,Salaried,2,1172515.17,54806.44,3981416.94,Business,680,0,347460.22,56.0912,3.395621,0
31,Freelancer,7,583181.16,14856.9,318947.98,Vehicle,708,1,368867.32,30.5707,0.546911,0
33,Salaried,4,2453448.53,117789.75,10383189.39,Home,680,1,519096.29,57.6118,4.23208,1
26,Self-Employed,2,1664036.69,64837.87,2204762.42,Vehicle,642,0,2111001.59,46.757,1.324948,0
26,Business Owner,7,2531279.01,60638.19,7761532.41,Business,610,0,188684.7,28.7467,3.066249,0
47,Self-Employed,5,3299028.71,165355.67,10094871.86,Home,600,0,176268.13,60.147,3.059953,0
40,Business Owner,7,1670169.52,52060.66,2136428.7,Personal,614,0,497108.03,37.4051,1.279169,0
42,Salaried,11,1830979.3,64206.96,3694995.7,Business,637,0,209763.78,42.0804,2.018043,0
21,Salaried,3,2222300.52,29194.43,1735855.7,Personal,654,0,244543.47,15.7644,0.781108,0
34,Salaried,13,1859509.9,69052.26,1872127.52,Personal,631,3,112217.81,44.5616,1.006785,0
22,Freelancer,0,1519606.19,10503.29,3925152.85,Education,829,0,279392.73,8.2942,2.583007,0
21,Salaried,3,1470529.29,34431.86,4980858.6,Home,545,1,1113460.71,28.0975,3.38712,1
23,Self-Employed,3,1306432.91,45264.9,1265377.14,Vehicle,777,0,442172.91,41.5772,0.968574,0
33,Self-Employed,10,2893679.68,143501.29,8874078.67,Education,604,4,665682.69,59.5095,3.066711,1
21,Self-Employed,2,419927.52,13602.82,1994450.59,Home,660,0,83298.59,38.8719,4.749512,0
35,Salaried,15,2536710.99,121577.65,4138340.52,Personal,568,2,623557.26,57.5127,1.63138,0
24,Self-Employed,0,2583781.66,132752.72,5957664.54,Education,673,2,219429.79,61.6551,2.305793,0
24,Self-Employed,1,1332938.77,24241.61,1306974.59,Personal,844,0,134989.92,21.8239,0.980521,0
27,Salaried,8,3005833.33,104574.08,13584423.91,Business,673,2,188374.01,41.7485,4.519354,0
33,Business Owner,1,1121430.3,32284.87,4037549.82,Business,552,0,333827.52,34.5468,3.600357,0
23,Salaried,4,581972.64,18331.44,2223921.9,Home,727,0,95216.67,37.7986,3.821351,0
31,Self-Employed,6,1115837.6,40378.73,1653980.71,Personal,676,0,511313.65,43.4243,1.482277,0
27,Self-Employed,4,1456251.4,89759.08,7852514.08,Home,685,0,64313.55,73.9645,5.392279,1
25,Salaried,7,853323.82,39851.87,4016228.86,Business,575,0,289614.48,56.0423,4.706571,0
24,Business Owner,0,1548899.17,26943.33,4022831.33,Home,649,2,165080.29,20.8742,2.59722,0
26,Self-Employed,8,1249703.45,29805.38,671593.34,Vehicle,645,1,310042.53,28.62,0.537402,0
45,Freelancer,12,719252.99,9421.02,1338429.04,Business,697,1,163062.09,15.718,1.86086,0
21,Self-Employed,2,931424.33,4128.77,1858609.66,Business,806,1,180267.58,5.3193,1.995449,0
39,Salaried,4,2178671.75,70599.79,3587493.34,Vehicle,744,3,362916.75,38.886,1.646642,0
24,Salaried,0,1026195.41,20708.97,1774064.25,Business,684,2,330476.85,24.2164,1.728778,0
39,Self-Employed,2,1252250.5,50069.56,3663812.31,Education,599,0,1075938.36,47.9804,2.925782,0
25,Self-Employed,6,5368079.86,110314.84,2791874.09,Personal,762,2,187636.41,24.6602,0.520088,0
43,Self-Employed,8,1249996.07,4677.6,4276359.03,Business,892,0,517229.52,4.4905,3.421098,0
26,Salaried,8,1359292.07,20180.43,3411344.7,Business,672,0,1256952.3,17.8155,2.509648,0
31,Business Owner,11,4315290.51,78824.79,15962636.89,Home,619,0,299064.77,21.9197,3.699087,1
24,Self-Employed,6,1753557.84,72115.83,2635730.19,Vehicle,591,0,1341183.8,49.3505,1.503076,0
32,Freelancer,9,1195202.68,72099.89,2637190.26,Home,612,2,523299.37,72.3893,2.20648,1
29,Salaried,7,4368956.67,197299.77,2401334.95,Vehicle,812,0,484518.27,54.1914,0.549636,0
40,Salaried,11,2543262.07,37290.63,3963449.38,Vehicle,622,2,215675.34,17.595,1.558412,0
31,Freelancer,10,605945.4,25460.29,401557.26,Personal,631,0,292133.46,50.421,0.662695,1
32,Salaried,4,748232.11,20064.55,4305343.92,Home,703,0,470816.79,32.1791,5.754022,0
40,Freelancer,0,1880865.17,45787.07,8768349.33,Business,832,2,210864.59,29.2123,4.66187,1
39,Salaried,10,1103776.97,14995.75,4157184.84,Home,693,1,265909.75,16.303,3.766327,1
40,Salaried,7,3603908.68,109853.2,6239205.71,Personal,740,0,1110945.64,36.578,1.731233,0
41,Self-Employed,13,1247812.68,74784.75,5968948.29,Home,757,0,145451.75,71.9192,4.783529,0
24,Salaried,5,1925027.71,33868.4,8884772.39,Home,697,0,264200.26,21.1125,4.6154,0
26,Self-Employed,1,608556.02,15373.82,2427270.7,Home,724,2,385505.62,30.3153,3.988574,0
28,Business Owner,3,2710605.92,96888.58,1520780.96,Vehicle,767,0,263550.32,42.8931,0.561048,0
35,Business Owner,5,1431276.73,21877.4,6822458.62,Home,559,1,208562.28,18.3423,4.766694,1
54,Self-Employed,12,1341918.27,41105.76,511326.44,Personal,662,1,110142.96,36.7585,0.381041,0
26,Salaried,8,1445627.52,64220.74,3818571.31,Business,833,0,248396.32,53.309,2.641463,0
43,Salaried,12,1178628.61,26547.15,5038240.51,Home,704,0,192259.69,27.0285,4.274663,0
21,Self-Employed,3,180000.0,7356.12,330792.11,Vehicle,787,2,81432.09,49.0408,1.837734,0
42,Salaried,15,1804348.08,39571.54,4969932.24,Business,675,0,235608.94,26.3175,2.75442,0
21,Salaried,3,2200276.24,3304.63,5907188.25,Education,858,1,344157.46,1.8023,2.684748,0
21,Salaried,2,823567.36,38600.0,3983882.37,Home,501,1,3947905.52,56.2431,4.837349,1
45,Salaried,4,751426.5,13415.84,1518138.24,Education,698,0,512901.68,21.4246,2.020342,0
39,Salaried,4,882886.53,21550.39,616291.04,Vehicle,585,1,197728.76,29.2908,0.698041,0
28,Self-Employed,3,2487205.17,88335.19,7290055.08,Education,641,0,136704.69,42.619,2.931023,0
29,Salaried,3,2534236.82,88128.34,7708207.66,Home,654,2,286455.23,41.7301,3.041629,0
49,Salaried,8,1604608.26,33833.72,2555845.21,Vehicle,637,0,260393.42,25.3024,1.592816,0
33,Self-Employed,4,1388630.03,10864.17,1815406.95,Personal,787,1,145124.17,9.3884,1.307337,0
21,Salaried,3,1317460.41,32573.33,7313511.94,Home,612,0,458435.65,29.6692,5.55122,0
28,Salaried,9,761038.36,18303.73,2684241.77,Home,664,2,254856.79,28.8612,3.527078,0
32,Business Owner,11,1150709.61,7258.85,2275395.91,Education,789,3,139852.51,7.5698,1.977385,1
31,Salaried,12,2219750.03,37745.8,7444249.48,Business,715,1,573696.69,20.4054,3.353643,0
21,Salaried,3,1509584.26,63266.5,8435899.42,Home,763,0,100508.16,50.2919,5.588227,1
40,Salaried,2,1810962.97,48109.58,5829013.6,Home,672,0,173601.35,31.8789,3.218737,0
33,Salaried,8,1488857.18,41612.04,2757009.6,Vehicle,795,0,689997.7,33.5388,1.851762,0
21,Salaried,2,599208.81,4301.84,632940.02,Personal,679,0,334007.64,8.615,1.056293,0
31,Salaried,3,2104725.39,59543.33,3762970.76,Business,692,0,491249.28,33.9484,1.787868,0
40,Business Owner,13,1367473.87,22359.38,2458062.56,Business,855,3,719358.49,19.621,1.797521,0
21,Business Owner,3,1633629.01,77266.06,2698754.03,Vehicle,832,1,328924.42,56.7566,1.651999,1
35,Self-Employed,3,1040065.47,29127.56,1552963.2,Vehicle,694,2,797120.12,33.6066,1.49314,0
31,Freelancer,2,1388558.09,14940.49,5169219.19,Home,751,0,297143.57,12.9117,3.722724,0
34,Salaried,12,1233927.35,12071.4,6867264.21,Home,626,2,100281.21,11.7395,5.565372,1
22,Salaried,4,1263315.67,34364.56,3320593.38,Business,793,1,970077.81,32.6423,2.628475,0
26,Salaried,8,2934106.36,85253.67,15775949.13,Home,642,1,859773.6,34.8673,5.376748,0
46,Salaried,4,1535171.51,42675.88,6135795.78,Home,733,0,126039.76,33.3585,3.996815,0
33,Business Owner,11,801618.49,13340.91,2084087.02,Home,789,1,539096.21,19.971,2.599849,0
34,Salaried,12,3440417.26,40403.52,1498162.17,Personal,849,3,320042.58,14.0925,0.435459,0
